date,valeur
2020-05-13,1.34
2020-05-14,2.85
2020-05-15,4.41
2020-05-16,4.85
2020-05-17,5.06
2020-05-18,6.73
2020-05-19,8.3
2020-05-20,8.53
2020-05-21,7.31
2020-05-22,6.99
2020-05-23,6.95
2020-05-24,6.96
2020-05-25,6.34
2020-05-26,5.92
2020-05-27,5.43
2020-05-28,6.1
2020-05-29,5.76
2020-05-30,5.94
2020-05-31,5.98
2020-06-01,5.18
2020-06-02,5.1
2020-06-03,5.0
2020-06-04,4.97
2020-06-05,4.91
2020-06-06,4.8
2020-06-07,4.72
2020-06-08,5.3
2020-06-09,5.08
2020-06-10,4.94
2020-06-11,4.94
2020-06-12,5.02
2020-06-13,4.9
2020-06-14,4.89
2020-06-15,4.8
2020-06-16,4.8
2020-06-17,5.07
2020-06-18,5.0
2020-06-19,5.13
2020-06-20,5.33
2020-06-21,5.3
2020-06-22,5.45
2020-06-23,5.59
2020-06-24,5.48
2020-06-25,5.37
2020-06-26,5.2
2020-06-27,5.18
2020-06-28,5.33
2020-06-29,5.44
2020-06-30,5.54
2020-07-01,5.48
2020-07-02,5.6
2020-07-03,5.86
2020-07-04,5.88
2020-07-05,5.71
2020-07-06,5.72
2020-07-07,5.49
2020-07-08,5.6
2020-07-09,5.78
2020-07-10,5.94
2020-07-11,5.95
2020-07-12,5.97
2020-07-13,6.27
2020-07-14,5.7
2020-07-15,5.92
2020-07-16,6.32
2020-07-17,6.48
2020-07-18,6.61
2020-07-19,6.72
2020-07-20,6.94
2020-07-21,8.31
2020-07-22,8.78
2020-07-23,9.04
2020-07-24,9.51
2020-07-25,9.78
2020-07-26,9.89
2020-07-27,10.48
2020-07-28,10.88
2020-07-29,11.33
2020-07-30,11.93
2020-07-31,12.46
2020-08-01,12.71
2020-08-02,12.69
2020-08-03,13.58
2020-08-04,14.54
2020-08-05,15.27
2020-08-06,16.18
2020-08-07,17.17
2020-08-08,17.49
2020-08-09,17.78
2020-08-10,19.02
2020-08-11,20.04
2020-08-12,21.43
2020-08-13,23.5
2020-08-14,25.84
2020-08-15,25.49
2020-08-16,25.86
2020-08-17,29.1
2020-08-18,32.16
2020-08-19,35.09
2020-08-20,37.46
2020-08-21,39.32
2020-08-22,41.5
2020-08-23,41.98
2020-08-24,44.88
2020-08-25,47.99
2020-08-26,50.74
2020-08-27,54.17
2020-08-28,57.92
2020-08-29,59.13
2020-08-30,59.58
2020-08-31,63.33
2020-09-01,66.37
2020-09-02,69.9
2020-09-03,73.36
2020-09-04,77.02
2020-09-05,78.52
2020-09-06,78.75
2020-09-07,82.87
2020-09-08,87.03
2020-09-09,90.4
2020-09-10,93.82
2020-09-11,95.6
2020-09-12,96.27
2020-09-13,96.41
