date,valeur
2020-05-13,2.26
2020-05-14,2.31
2020-05-15,2.26
2020-05-16,2.21
2020-05-17,2.21
2020-05-18,2.21
2020-05-19,2.17
2020-05-20,2.12
2020-05-21,2.07
2020-05-22,1.95
2020-05-23,1.92
2020-05-24,1.92
2020-05-25,1.75
2020-05-26,1.63
2020-05-27,1.54
2020-05-28,1.51
2020-05-29,1.43
2020-05-30,1.47
2020-05-31,1.47
2020-06-01,1.5
2020-06-02,1.51
2020-06-03,1.49
2020-06-04,1.5
2020-06-05,1.51
2020-06-06,1.47
2020-06-07,1.46
2020-06-08,1.41
2020-06-09,1.38
2020-06-10,1.36
2020-06-11,1.38
2020-06-12,1.42
2020-06-13,1.39
2020-06-14,1.39
2020-06-15,1.37
2020-06-16,1.38
2020-06-17,1.46
2020-06-18,1.44
2020-06-19,1.47
2020-06-20,1.51
2020-06-21,1.5
2020-06-22,1.52
2020-06-23,1.52
2020-06-24,1.46
2020-06-25,1.42
2020-06-26,1.34
2020-06-27,1.32
2020-06-28,1.35
2020-06-29,1.32
2020-06-30,1.29
2020-07-01,1.23
2020-07-02,1.19
2020-07-03,1.2
2020-07-04,1.19
2020-07-05,1.15
2020-07-06,1.14
2020-07-07,1.07
2020-07-08,1.07
2020-07-09,1.06
2020-07-10,1.05
2020-07-11,1.04
2020-07-12,1.05
2020-07-13,1.06
2020-07-14,1.12
2020-07-15,1.11
2020-07-16,1.14
2020-07-17,1.12
2020-07-18,1.12
2020-07-19,1.12
2020-07-20,1.13
2020-07-21,1.14
2020-07-22,1.18
2020-07-23,1.21
2020-07-24,1.27
2020-07-25,1.3
2020-07-26,1.3
2020-07-27,1.35
2020-07-28,1.37
2020-07-29,1.38
2020-07-30,1.4
2020-07-31,1.43
2020-08-01,1.45
2020-08-02,1.45
2020-08-03,1.52
2020-08-04,1.63
2020-08-05,1.71
2020-08-06,1.8
2020-08-07,1.9
2020-08-08,1.93
2020-08-09,1.96
2020-08-10,2.09
2020-08-11,2.2
2020-08-12,2.34
2020-08-13,2.52
2020-08-14,2.68
2020-08-15,2.74
2020-08-16,2.76
2020-08-17,2.93
2020-08-18,3.07
2020-08-19,3.2
2020-08-20,3.27
2020-08-21,3.29
2020-08-22,3.3
2020-08-23,3.33
2020-08-24,3.43
2020-08-25,3.55
2020-08-26,3.61
2020-08-27,3.69
2020-08-28,3.79
2020-08-29,3.82
2020-08-30,3.83
2020-08-31,3.96
2020-09-01,4.08
2020-09-02,4.25
2020-09-03,4.42
2020-09-04,4.57
2020-09-05,4.63
2020-09-06,4.64
2020-09-07,4.79
2020-09-08,4.85
2020-09-09,4.87
2020-09-10,4.86
2020-09-11,4.79
2020-09-12,4.79
2020-09-13,4.8
2020-09-14,4.88
2020-09-15,4.93
2020-09-16,5.04
2020-09-17,5.18
2020-09-18,5.38
2020-09-19,5.46
2020-09-20,5.48
2020-09-21,5.68
2020-09-22,5.94
2020-09-23,6.11
2020-09-24,6.23
2020-09-25,6.32
